9	R
20	W
10	W
26	R
25	W
8	R
9	R
23	W
9	R
26	W
4	W
12	W
25	W
22	R
25	W
1	R
24	R
29	W
22	W
10	W
1	R
4	R
13	R
10	R
15	W
6	W
5	R
5	R
24	W
13	W
30	W
5	R
18	R
18	R
10	W
16	W
28	W
10	R
30	R
15	W
16	R
1	R
29	W
3	R
23	W
24	W
5	W
29	W
22	W
22	R
27	R
2	R
10	R
19	R
14	R
14	R
15	R
3	W
4	W
28	W
5	R
2	R
11	W
22	W
29	R
17	W
3	W
4	R
13	W
5	W
16	R
8	R
17	R
14	W
8	R
7	W
15	W
12	R
21	R
11	W
7	R
7	R
6	W
5	W
23	W
27	W
20	R
30	W
7	R
17	W
7	R
17	W
15	W
30	R
22	W
8	W
28	W
20	W
7	R
5	R
26	W
29	R
20	W
4	W
3	W
1	R
26	R
14	W
28	W
21	R
15	W
8	R
4	R
30	W
13	W
1	W
11	R
6	W
18	R
9	W
12	R
13	W
9	W
1	W
23	R
24	W
19	R
4	W
12	R
23	W
20	R
24	R
13	R
14	R
22	R
4	R
23	W
2	W
4	R
29	W
23	R
17	R
29	W
8	W
6	R
26	W
15	R
10	W
1	R
12	W
15	R
25	W
1	W
23	W
20	R
5	R
27	W
29	W
3	R
5	R
7	W
18	R
2	R
2	R
19	R
16	W
28	W
25	W
20	R
7	R
7	R
5	W
24	W
21	R
10	R
19	W
9	W
20	W
24	W
4	W
18	W
29	R
13	R
26	W
9	W
25	W
5	R
3	W
24	R
16	R
9	W
2	R
23	W
27	W
19	W
12	W
3	W
13	W
3	W
1	R
2	R
10	W
8	W
25	R
4	R
18	R
28	R
21	R
16	R
28	W
9	R
2	R
11	W
10	R
13	R
7	W
19	R
3	W
12	W
3	W
30	W
20	R
22	W
1	W
19	R
25	R
21	W
21	R
1	R
27	W
3	W
11	R
26	W
1	R
3	R
14	W
14	R
12	R
27	R
26	R
3	R
25	R
8	R
8	R
15	W
6	R
13	W
30	W
21	W
7	R
24	W
16	R
7	W
25	R
10	R
9	W
3	R
18	W
9	R
2	W
13	R
2	R
7	R
25	R
6	R
20	R
12	R
27	W
24	W
4	R
26	W
6	W
28	W
21	R
10	R
22	W
13	R
9	R
8	R
8	R
25	R
4	W
23	W
8	R
27	R
11	W
15	R
11	W
24	W
18	R
8	R
9	W
16	R
23	R
11	W
27	R
18	W
24	W
6	R
10	W
4	R
24	W
29	W
21	W
19	R
8	W
1	W
30	W
16	W
22	W
21	R
14	W
2	W
1	R
30	R
1	R
23	W
12	R
11	R
26	W
25	R
17	R
3	W
25	W
29	W
28	R
26	R
10	W
18	R
18	W
21	W
12	R
25	W
25	W
18	W
19	W
6	R
20	W
5	W
2	R
22	R
14	R
1	R
28	R
25	W
20	R
17	R
11	W
16	R
1	R
8	R
28	W
7	W
27	R
23	W
28	W
26	R
23	R
25	W
7	W
5	W
18	W
18	R
25	W
25	R
20	R
27	W
22	R
27	W
28	R
16	R
25	R
27	R
21	R
6	R
24	R
6	W
24	W
2	W
19	W
26	W
4	W
17	R
16	R
13	R
24	W
29	W
22	R
4	R
8	R
23	R
11	R
4	W
22	R
13	W
7	W
1	W
21	W
27	R
22	R
3	R
28	W
24	R
18	R
15	R
28	W
10	W
6	R
12	R
24	W
12	W
16	W
1	W
21	R
26	R
27	R
11	W
14	R
27	R
15	R
10	W
10	R
20	R
7	R
25	W
30	W
21	R
10	W
13	W
10	W
26	R
12	R
14	R
25	W
10	R
13	R
13	W
21	W
21	R
16	R
19	R
13	R
22	W
22	W
5	W
25	R
22	R
13	R
15	R
7	W
7	R
4	R
24	W
12	W
5	R
21	R
26	R
23	R
30	R
12	W
22	W
18	R
26	W
9	R
20	R
26	R
25	W
29	R
15	R
24	R
21	W
3	W
30	W
24	R
24	R
17	R
25	W
19	W
18	R
22	R
12	W
25	W
9	W
16	R
18	W
4	W
15	W
16	R
15	R
19	W
6	R
14	W
1	W
11	W
21	R
16	W
12	R
29	W
26	R
26	R
